№;Code;Name area;Number ;Full name;Address;Head;Phone code;Contact number;E-mail;Website;Russian language,amount;Russian language,GPA;Russian language,spravlyaemost;Mathematics profil,amount;Mathematics profil,GPA;Mathematics profil,spravlyaemost;Mathematics base,amount;Mathematics base,GPA;Mathematics base,spravlyaemost;Physics ,amount;Physics,GPA;Physics,spravlyaemost;Chemistry ,amount;Chemistry ,GPA;Chemistry,spravlyaemost;Biology,amount;Biology ,GPA;Biology,spravlyaemost;Geography ,amount;Geography ,GPA;Geography,spravlyaemost;Computer science ,amount;Computer science ,GPA;Computer science,spravlyaemost;Literature ,amount;Literature ,GPA;Literature,spravlyaemost;History ,amount;History ,GPA;History,spravlyaemost;Social Studies ,amount;Social Studies ,GPA;Social Studies,spravlyaemost;English ,amount;English ,GPA;English,spravlyaemost;German ,amount;German ,GPA;German,spravlyaemost;French ,amount;French ,GPA;French,spravlyaemost;Lat;Long
1;762103;Большесельский;;Муниципальное общеобразовательное учреждение Большесельская средняя общеобразовательная школа;152360, Ярославская обл., Большесельский р-н, с. Большое Село, ул. Сурикова, д.9;Дьячкова Елена Юрьевна;48542;21884, 21434;bschool@inbox.ru;http://shbol.edu.yar.ru;29;76,8;100;24;50,6;100;26;4,6;100;11;48,5;100;;;;5;44,6;100;;;;5;69;100;4;68,5;100;3;63,7;100;25;59,4;100;;;;;;;;;;57.717542;38.94
2;762104;Большесельский;;Муниципальное общеобразовательное учреждение Вареговская средняя общеобразовательная школа;152385, Ярославская обл., Большесельский р-н, п/о Варегово, с. Варегово, ул. Школьная, д.1;Макарова Людмила Васильевна;48542;25588;varegovoschule@mail.ru;http://varg-bol.edu.yar.ru;2;70,5;100;2;21;50;2;4,5;100;;;;;;;;;;;;;1;44;100;;;;;;;2;38,5;50;;;;;;;;;;57.776505;39.281441
3;762112;Большесельский;;Муниципальное общеобразовательное учреждение Новосельская средняя общеобразовательная школа;152370, Ярославская обл., Большесельский р-н, с. Новое Село, ул. Октябрьская, д.3;Селиванова Алла Александровна;48542;26437;nowchool@mail.ru;http://novs-bol.edu.yar.ru;3;68,7;100;3;39;100;3;4,7;100;1;52;100;;;;;;;;;;;;;;;;1;37;100;2;41,5;50;;;;;;;;;;57.726188;38.991671
4;762201;Борисоглебский;;Муниципальное общеобразовательное учреждение Андреевская средняя общеобразовательная школа;152197, Ярославская обл., Борисоглебский р-н, д. Андреевское, ул. Молодежная, д.8;Полетаев Владимир Васильевич;48539;35547;ASOSH1991@mail.ru;http://andr-sosh.ru;5;70,8;100;2;56,5;100;5;4,4;100;2;46,5;100;;;;;;;;;;;;;;;;2;57,5;100;3;57,3;100;;;;;;;;;;57.30752;39.234091
5;762203;Борисоглебский;1;Муниципальное общеобразовательное учреждение Борисоглебская средняя общеобразовательная школа № 1;152170, Ярославская обл., Борисоглебский р-н, пос. Борисоглебский, ул. Октябрьская, д.46;Огурцов Алексей Константинович;48539;21217;borgl1@mail.ru;http://borgl1.edu.yar.ru/;17;74,8;100;16;40,4;93,8;14;4,4;100;3;44;100;5;46,4;80;4;62,5;100;;;;1;34;0;2;68;100;3;62,3;100;10;57,9;100;;;;;;;;;;57.254923;39.139094
6;762204;Борисоглебский;2;Муниципальное общеобразовательное учреждение Борисоглебская средняя общеобразовательная школа № 2;152170, Ярославская обл., Борисоглебский р-н, пос. Борисоглебский, ул. Победы, д.1а;Зимина Наталья Алексеевна;48539;21221;bg2@bk.ru;http://bgschool2.ru;25;76,9;100;15;54,5;93,3;21;4,4;100;4;59;100;2;47,5;100;4;59,8;100;;;;7;62,7;100;;;;8;52,3;100;15;56,4;80;3;78,7;100;;;;;;;57.268577;39.168604
7;762205;Борисоглебский;;Муниципальное общеобразовательное учреждение Вощажниковская средняя общеобразовательная школа;152174, Ярославская обл., Борисоглебский р-н, с. Вощажниково, ул. Советская, д.100;Чистова Татьяна Викторовна;48539;33506;wshool@yandex.ru;http://wschool76.edusite.ru;6;85,8;100;6;49,5;100;6;4,3;100;;;;1;38;100;2;45;100;;;;;;;1;66;100;2;75;100;6;64,7;100;;;;;;;;;;57.36056;39.139498
8;762208;Борисоглебский;;Муниципальное общеобразовательное учреждение Ивановская средняя общеобразовательная школа;152192, Ярославская обл., Борисоглебский р-н, с. Ивановское, д.23;Мартышин Владимир Сергеевич;48539;45344;ish-adm@yandex.ru;http://ivan-shkola.ru;13;71,6;100;10;32,8;80;13;4,4;100;1;40;100;4;44;50;7;64,9;100;;;;;;;2;63;100;1;49;100;8;49,4;75;;;;;;;;;;57.309814;38.932652
9;762302;Брейтовский;;Муниципальное образовательное учреждение Брейтовская средняя общеобразовательная школа;152760, Ярославская обл., Брейтовский р-н, с. Брейтово, ул. Республиканская, д.54 ;Нефёдова Светлана Михайловна;48545;21286;breytovoschool@mail.ru;http://76412sbrschool.edusite.ru;27;63,5;100;19;34,8;78,9;25;4;100;5;45,8;100;1;43;100;5;36,8;40;;;;;;;;;;;;;16;44;56,3;;;;;;;;;;58.292203;37.85912
10;762313;Брейтовский;;муниципальное образовательное учреждение Покрово-Ситская средняя общеобразовательная школа;152763, Ярославская обл., Брейтовский р-н, п/о Покровское на Сити, с. Покровское на Сити, ул. Школьная, д.3;Виноградова Светлана Владимировна;48545;31249;sitischool-agro@mail.ru;http://76416s003.edusite.ru;2;76,5;100;1;33;100;2;4,5;100;;;;1;51;100;1;71;100;;;;;;;1;66;100;;;;1;63;100;;;;;;;;;;58.188867;37.854189
11;764207;г. Переславль;;"муниципальное общеобразовательное учреждение ""Гимназия г. Переславля-Залесского""";152025, Ярославская обл., г. Переславль-Залесский, ул. Менделеева, д.36 ;Чистякова Марина Анатольевна;48535;26627;grammar-school-pz@yandex.ru;http://prsgim.edu.yar.ru;66;77,5;100;54;49,3;85,2;48;4,3;100;9;49,2;100;5;38,2;60;6;56,2;100;3;80,3;100;18;65,6;100;4;67,8;100;9;63,6;100;39;62,1;94,9;15;65,8;100;;;;;;;56.75259;38.878744
12;764201;г. Переславль;1;"муниципальное общеобразовательное учреждение ""Средняя школа № 1""";152020, Ярославская обл., г. Переславль-Залесский, ул. Советская, д.3, д.4;Сурнина Елена Михайловна;48535;31041;prs.sosh1@yandex.ru;http://school1-prs.edu.yar.ru/;43;71;100;31;49,6;93,5;43;4,6;100;7;57,1;100;9;50,4;77,8;7;55,1;100;1;66;100;2;67;100;2;51;100;12;49,8;91,7;30;54,7;83,3;6;58,5;100;1;58;100;;;;56.736873;38.855038
13;764202;г. Переславль;2;"муниципальное общеобразовательное учреждение ""Средняя школа № 2""";152024, Ярославская обл., г. Переславль-Залесский, мкр. Чкаловский, д.53 ;Долгушина Татьяна Владимировна;48535;23790;school2@school2-pereslavl.ru;http://www.school2-pereslavl.ru;21;62,6;100;17;29,1;76,5;21;4,1;100;2;38,5;100;2;38;100;3;40,3;66,7;;;;;;;2;37;50;4;38;75;17;50,7;88,2;;;;;;;;;;56.71508;38.815152
14;764204;г. Переславль;4;"муниципальное общеобразовательное учреждение ""Средняя школа № 4""";152025, Ярославская обл., г. Переславль-Залесский, ул. Октябрьская, д.41 ;Блохина Ольга Леонидовна;48535;36922;school4.pereslavl@mail.ru;http://school4-prs.edu.yar.ru/;21;77,3;100;16;45,5;93,8;21;4,6;100;4;50,5;100;3;57;100;5;68,6;100;;;;1;34;0;2;59;100;3;56,3;100;13;61,7;100;1;65;100;;;;;;;56.748607;38.882993
15;764206;г. Переславль;6;"муниципальное общеобразовательное учреждение ""Средняя школа № 6""";152025, Ярославская обл., г. Переславль-Залесский, ул. Менделеева, д.10;Кручинина Ирина Викторовна;48535;32610;ir.kruchinina2011@yandex.ru;http://sch6pz.ru/;19;68,2;100;15;42,9;80;19;4,3;100;3;60,7;100;;;;9;45,2;88,9;;;;1;46;100;;;;7;42,4;85,7;18;51,4;88,9;1;17;0;;;;;;;56.755778;38.869465
16;764209;г. Переславль;9;"муниципальное общеобразовательное учреждение ""Средняя школа № 9""";152023, Ярославская обл., г. Переславль-Залесский, пер. Берендеевский, д.27;Бубнова Людмила Дмитриевна;48535;32729;school9_9@mail.ru;http://school9-prs.edu.yar.ru;19;64,9;100;11;34,3;81,8;19;4,5;100;3;45,3;100;4;55,3;100;5;69,4;100;;;;1;44;100;2;56;100;1;47;100;11;53,6;90,9;;;;;;;;;;56.738888;38.883999
17;764512;г. Рыбинск;12;муниципальное образовательное автономное учреждение  средняя общеобразовательная школа № 12 им. П.Ф. Дерунова;152935, Ярославская обл., г. Рыбинск, ул. Моторостроителей, д.27;Бекенева Людмила Валентиновна;4855;245181;sch12@rybadm.ru;http://sch12.rybadm.ru;45;76,5;100;36;55,9;97,2;40;4,7;100;10;46,2;100;2;59,5;100;5;55;100;1;96;100;19;64,9;100;6;66;100;5;47,8;100;21;56,1;90,5;4;75;100;;;;;;;58.040261;38.809044
18;764510;г. Рыбинск;10;муниципальное образовательное автономное учреждение средняя общеобразовательная школа № 10;152912, Ярославская обл., г. Рыбинск, ул. Академика Губкина, д.21;Подоляк Ирина Львовна;4855;215771;sch10@rybadm.ru;http://sch10.rybadm.ru;46;79,3;100;34;48,9;91,2;45;4,6;100;12;51;100;4;60,8;100;7;54,6;100;1;56;100;9;69,7;100;3;83,7;100;5;46,4;100;24;60;95,8;3;63,3;100;;;;;;;58.059612;38.812996
19;764517;г. Рыбинск;17;муниципальное образовательное учреждение средняя общеобразовательная школа № 17 имени А.А. Герасимова;152914, Ярославская обл., г. Рыбинск, ул. Набережная Космонавтов, д.39;Иванова Наталья Александровна;4855;273784;sch17@rybadm.ru;http://school17-ryb.edu.yar.ru;22;80,7;100;22;48,5;86,4;22;4,7;100;5;49,8;100;6;59,8;100;2;71;100;;;;2;62;100;1;72;100;;;;10;60,7;100;;;;;;;;;;58.083302;38.765377
20;764527;г. Рыбинск;27;муниципальное образовательное учреждение средняя общеобразовательная школа № 27;152930, Ярославская обл., г. Рыбинск, ул. Ворошилова, д.3;Кабанова Светлана Юрьевна;4855;550227, 550727, 550318;sch27@rybadm.ru;http://school27.ru;34;79,9;100;30;54;100;34;4,7;100;10;49,2;100;8;60,1;100;10;62,6;100;;;;2;48,5;100;1;71;100;2;58;100;17;61,7;100;1;91;100;;;;;;;58.049774;38.763409
21;764530;г. Рыбинск;30;муниципальное образовательное учреждение средняя общеобразовательная школа № 30;152905, Ярославская обл., г. Рыбинск, ул. Черепанова, д.15;Новикова Антонина Анатольевна;4855;554749;sch30@rybadm.ru;http://sch30.rybadm.ru;29;76,2;100;24;62,2;91,7;15;4,5;100;7;60;100;4;47,5;100;9;51,7;77,8;;;;6;70,2;100;1;56;100;2;58,5;100;11;62,2;81,8;1;79;100;1;80;100;;;;58.045635;38.774198
22;764532;г. Рыбинск;32;муниципальное образовательное учреждение средняя общеобразовательная школа № 32 имени академика А.А.Ухтомского;152900, Ярославская обл., г. Рыбинск, ул. Моховая, д.18;Решетникова Нина Михайловна;4855;261587, 261507;sch32@rybadm.ru;http://sch32.rybadm.ru;50;71;100;43;48,6;83,7;39;4,4;100;16;60,8;100;1;43;100;8;48,8;100;;;;7;65,6;85,7;1;60;100;9;59,3;100;21;59,9;100;3;61;100;;;;;;;58.038651;38.863347
23;764544;г. Рыбинск;44;муниципальное образовательное учреждение средняя общеобразовательная школа № 44;152919, Ярославская обл., г. Рыбинск, ул. Гагарина, д.22;Степанюк Наталья Владимировна;4855;263980;sch44@rybadm.ru;http://sch44.rybadm.ru;25;79,9;100;15;50,5;100;18;4,5;100;5;46;100;5;45,6;100;11;58,2;100;;;;2;66,5;100;1;71;100;5;40,4;60;13;53,1;84,6;;;;;;;;;;58.035373;38.844114
24;764518;г. Рыбинск;18;муниципальное общеобразовательное учреждение гимназия № 18 имени В.Г. Соколова;152907, Ярославская обл., г. Рыбинск, ул. 9 Мая, д.14;Горева Наталья Владимировна;4855;550734;gim18@rybadm.ru;http://gim18.rybadm.ru/;40;76;100;22;40,4;90,9;37;4,4;100;9;47;100;1;36;100;10;47,1;90;;;;5;50,8;80;11;55,3;100;4;42,5;100;27;53,1;85,2;2;61,5;100;;;;;;;58.055098;38.780271
25;764508;г. Рыбинск;8;муниципальное общеобразовательное учреждение гимназия № 8 им. Л.М. Марасиновой ;152914, Ярославская обл., г. Рыбинск, ул. 200 лет Рыбинску, д.15;Игнатьева Ирина Альбертовна ;4855;272204;gim8@rybadm.ru;http://gim8.rybadm.ru/;29;72,4;100;21;54,5;95,2;16;4,3;100;7;52,4;100;7;56,7;85,7;9;62;100;;;;;;;2;62,5;100;5;49;100;13;53;84,6;3;70,3;100;;;;;;;58.048454;38.858433
26;764502;г. Рыбинск;2;"муниципальное общеобразовательное учреждение кадетская школа-интернат № 2 ""Рыбинский кадетский корпус""";152906, Ярославская обл., г. Рыбинск, ул. Свердлова, д.26;Калагаев Владимир Павлович;4855;251910;schkad@rybadm.ru;http://schkad.rybadm.ru;11;57,4;100;9;24,1;44,4;11;3,8;100;4;42,5;100;;;;1;38;100;;;;;;;;;;2;33;50;11;42,4;63,6;;;;;;;;;;58.063492;38.841239
27;764572;г. Рыбинск;2;муниципальное общеобразовательное учреждение лицей № 2;152931, Ярославская обл., г. Рыбинск, ул. Карякинская, д.104;Румянцев Алексей Васильевич;4855;281676;liz2@rybadm.ru;http://liz2.rybadm.ru/;70;83;100;44;68,6;93,2;40;4,4;100;14;62,4;100;22;55,5;100;21;54,2;95,2;;;;19;80,5;100;7;59,1;100;6;70,2;100;22;65,8;95,5;11;80,5;100;;;;;;;58.047888;38.826022
28;764501;г. Рыбинск;1;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 1 с углубленным изучением английского языка;152934, Ярославская обл., г. Рыбинск, ул. Радищева, д.15;Ковичева Нина Александровна;4855;217830;sch1@rybadm.ru;http://sch1.rybadm.ru;59;85,1;100;41;52,8;100;25;4,4;100;16;58,9;100;8;60,4;87,5;11;73,6;100;2;82;100;5;71,8;100;6;63,3;100;10;57;100;30;62,9;96,7;22;80,3;100;;;;;;;58.045954;38.841976
29;764511;г. Рыбинск;11;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 11;152900, Ярославская обл., г. Рыбинск, ул. Ярославский тракт, д.43;Масалыга Маргарита Дмитриевна;4855;262245;sch11@rybadm.ru;http://sch11.rybadm.ru;18;64,7;100;16;32,8;56,3;18;3,9;100;2;44,5;50;3;50,7;66,7;6;51,8;83,3;;;;;;;2;48,5;100;3;45,3;66,7;15;47,2;73,3;;;;;;;;;;58.028735;38.897806
30;764520;г. Рыбинск;20;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 20 имени П.И. Батова;152915, Ярославская обл., г. Рыбинск, ул. Полиграфская, д.5;Кочегарова Светлана Валерьевна;4855;262521;sch20@rybadm.ru;http://sch20.rybadm.ru;44;70,4;100;34;41,8;91,2;44;4,4;100;10;50,4;100;2;49;100;7;52,9;100;;;;2;52;50;1;52;100;9;47,9;100;27;54,6;88,9;3;82,3;100;;;;;;;58.026024;38.855136
31;764521;г. Рыбинск;21;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 21;152912, Ярославская обл., г. Рыбинск, ул. Молодежная, д.32;Иванова Нина Николаевна;4855;210522;sch21@rybadm.ru;http://sch21.rybadm.ru;38;66,4;100;31;45,1;87,1;27;4,2;96,3;16;47,9;100;4;40,8;50;8;45,1;87,5;;;;6;67,5;100;2;46,5;100;5;43,2;100;13;54,3;100;2;51;100;;;;;;;58.059393;38.806277
32;764523;г. Рыбинск;23;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 23;152907, Ярославская обл., г. Рыбинск, ул. Солнечная, д.7;Копейкина Мария Александровна;4855;559887;sch23@rybadm.ru;http://sch23.rybadm.ru;24;71,1;100;16;43,8;93,8;24;4,3;100;9;49;100;1;37;100;1;44;100;1;57;100;2;60,5;100;2;64;100;4;62,8;100;7;63,6;100;2;53;100;;;;;;;58.053903;38.786613
33;764524;г. Рыбинск;24;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 24;152920, Ярославская обл., г. Рыбинск, ул. Б.Рукавицына, д.35;Дедкина Ирина Ильинична;4855;550518;sch24@rybadm.ru;http://sch24.rybadm.ru;24;72,9;100;22;45,5;100;21;4,5;100;7;56,4;100;;;;3;48,7;66,7;;;;2;51,5;100;;;;2;53;100;14;53,4;85,7;;;;1;41;100;;;;58.062393;38.772069
34;764526;г. Рыбинск;26;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 26;152931, Ярославская обл., г. Рыбинск, ул. Кольцова, д.19;Павлов Игорь Аркадьевич;4855;222364;sch26@rybadm.ru;http://sch26.rybadm.ru;26;77,2;100;15;46,6;86,7;25;4,4;100;4;48,3;100;;;;2;76;100;;;;1;51;100;1;50;100;4;49;100;21;58;76,2;3;63,7;100;;;;;;;58.052212;38.830352
35;764529;г. Рыбинск;29;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 29;152930, Ярославская обл., г. Рыбинск, пр-т Мира, д.27 ;Кукушкин Сергей Иванович;4855;551743;sch29@rybadm.ru;http://sch29.rybadm.ru;27;65,6;100;17;33,9;76,5;27;4,1;100;6;45,5;100;2;58;100;1;34;0;;;;2;47,5;100;1;59;100;2;60;100;10;47,1;70;;;;;;;;;;58.055517;38.758029
36;764535;г. Рыбинск;35;Муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 35;152909, Ярославская обл., г. Рыбинск, ул. Бурлацкая, д.8 / Рулонный пер., д.2;Скворцова Людмила Ивановна;4855;265243;sch35@rybadm.ru;http://sch35.rybadm.ru;17;64,2;100;7;51,6;100;10;3,5;100;4;51;100;2;38,5;50;2;51;100;;;;1;73;100;1;73;100;2;62,5;100;4;65,5;100;;;;;;;;;;58.050336;38.884404
37;764536;г. Рыбинск;36;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 36;152916, Ярославская обл., г. Рыбинск, ул. Инженерная, д.39;Шуйгина Марина Валентиновна;4855;200857;sch36@rybadm.ru;http://sch36.rybadm.ru;15;71,4;100;15;40,7;73,3;11;3,8;100;4;58,8;100;2;55,5;100;4;54;75;;;;1;50;100;;;;;;;7;46,4;85,7;1;83;100;;;;;;;58.088497;38.689963
38;764543;г. Рыбинск;43;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 43;152912, Ярославская обл., г. Рыбинск, ул. Баженова, д.11;Бессуднова Оксана Аркадьевна;4855;217711;sch43@rybadm.ru;http://sch43.rybadm.ru;19;61,6;100;11;35;63,6;19;3,7;100;2;46;100;1;56;100;2;38;50;;;;;;;2;51;100;4;44,8;100;9;49,6;88,9;;;;;;;;;;58.062274;38.807589
39;764505;г. Рыбинск;5;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 5;152935, Ярославская обл., г. Рыбинск, ул. Моторостроителей, д.15;Иванкова Светлана Евстафьевна;4855;245285;sch5@rybadm.ru;http://sch5.rybadm.ru/;24;71,5;100;20;51,2;95;7;4,1;100;8;53,3;100;;;;3;50;100;1;63;100;5;60,6;100;1;63;100;4;67,8;100;12;61,8;100;2;86;100;;;;;;;58.041638;38.816572
40;764506;г. Рыбинск;6;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 6;152915, Ярославская обл., г. Рыбинск, ул. Льва Ошанина, д.14;Шарова Светлана Анатольевна ;4855;267580;sch6@rybadm.ru;http://sch6.rybadm.ru/;32;60,2;100;8;36,9;75;31;3,9;100;5;51;100;1;58;100;6;43,2;83,3;1;78;100;;;;2;59,5;100;4;42,3;50;13;52,7;92,3;2;72;100;;;;;;;58.048454;38.858433
41;760619;г. Ярославль;1;"Муниципальное общеобразовательное учреждение ""Гимназия № 1"" ";150057, Ярославская обл., г. Ярославль, пр. Ушакова, д.11;Бойчук Наталья Викторовна;4852;442757;gimn1-yar.sch@yandex.ru;http://gimn1.edu.yar.ru;88;77,5;100;62;56;91,9;57;4,6;100;14;51,1;92,9;18;60;94,4;20;65,4;100;4;54,5;100;18;71,1;100;6;61;100;16;53,8;100;43;62,3;100;6;77,8;100;;;;;;;57.574523;39.852734
