Number;Name;Address;INN;OGRN;Registration number;Requisites;Date of decision;Expiry date;Education levels;Date order for renewal;Number order for renewal;Order the suspension of date;Order the suspension of number;Order the resumption date;Order the resumption number;Order date of the withdrawal ;Order number of the withdrawal ;Order date of the termination;Order number of the termination;Latitude;Longitude
№ 1;Муниципальное общеобразовательное учреждение Новосельская средняя общеобразовательная школа;Российская Федерация, Ярославская область, Большесельский муниципальный район, село Новое, ул. Октябрьская, д. 3;7613003388;1027601275019;июл.17;76А01 № 0000480;30.04.2013;30.04.2025;Начальное  общее образование, основное общее образование, среднее общее образование ;10.01.2017;09.05.2003;;;;;;;;;57.701333;38.776731
№ 2;муниципальное общеобразовательное учреждение Юркинская основная общеобразовательная школа;152175, Российская Федерация, Ярославская область, Борисоглебский район, д. Юркино, ул. Транспортная, д. 5;7614003454;1027601071090;29/17;76А01 № 0000503;24.05.2011;24.05.2023;Начальное общее образование, основное общее образование ;09.03.2017;72/05-03;;;;;;;;;57.418439;39.07596
3;муниципальное образовательное учреждение Гостиловская начальная школа - детский сад ;Россия, Ярославская область, Большесельский район, д. Новое  Гостилово,  ул. Зелёная, дом 4 ;7613004783;1107611000221;70/14;76А01 №  0000011;21.04.2014;21.04.2026;Начальное общее образование ;;;;;;;;;;;57.801912;38.998858
№ 4;муниципальное общеобразовательное учреждение Спас-Ильдинская основная общеобразовательная школа ;Российская Федерация, 152738 Ярославская область, Некоузский район,  с. Спас-Ильдь, д. 16 ;7620003759;1027601492940;78/14;76А01 № 0000019;30.04.2014;30.04.2026;Начальное общее образование, основное общее образование ;;;;;;;;;;;57.991407;38.080259
№ 5;муниципальное дошкольное образовательное учреждение центр развития ребёнка - детский сад № 31;152900, Ярославская обл., г. Рыбинск, ул. Блюхера, д. 11а;7610054793;1027601116850;янв.39;ДД 005474;11.03.2010;11.03.2015;дошкольного образования;;;;;;;;;;;58.036879;38.865036
№ 6;муниципальное дошкольное  образовательное учреждение центр развития ребенка - детский сад № 113;Российская Федерация, 152905 Ярославская область, город Рыбинск, улица Суркова, дом 17;7610041314;1027601110130;янв.46;ДД 005582;27.12.2010;27.12.2015;"дошкольного образования, общеобразовательные программы художественно-эстетической направленности (Акварелька); социально-педагогической направленности (Учись говорить); физкультурно-спортивной направленности (Дельфиненок, Этюды маленьких гимнастов)";;;;;;;;;;;58.04733;38.774809
№ 7;муниципальное дошкольное образовательное учреждение детский сад общеразвивающего вида № 34;Российская Федерация, 152905 Ярославская область, город Рыбинск, улица Суркова, дом 17;7610041385;1027601113880;янв.56;ДД 005570;27.12.2010;27.12.2015;"общеобразовательная программа дошкольного образования в группах общеразвивающей направленности с приоритетным осуществлением деятельности по физическому направлению развития детей; общеобразовательные программы художественно-эстетической направленности (Цветные ладошки, Ладушки); социально-педагогической направленности (Учим ребенка говорить и читать); физкультурно-спортивной направленности (Играйте на здоровье)";;;;;;;;;;;58.04733;38.774809
№ 8;муниципальное  общеобразовательное учреждение средняя  общеобразовательная школа № 3;Российская Федерация, 152903 Ярославская область, город Рыбинск, улица Глеба Успенского, дом 4 ;7610039717;1027601111120;152/16;76А01 № 0000399;19.02.2013;19.02.2025;"начальное общее образование; основное общее образование         ";21.01.2014 21.07.2016;18/05-03 606/05-03;;;;;;;;;58.056884;38.821512
9;муниципальное общеобразовательное учреждение средняя  общеобразовательная школа №2;152615, Ярославская  область, г. Углич, Студенческий городок, д.2 ;7612008680;1027601307580;20/14;76А01 № 0000229;19.02.2013;13.02.2025; начальное общее образование, основное общее образование  ;13.02.2014;65/05-03;;;;;;;;;57.523272;38.320675
10;муниципальное общеобразовательное учреждение Дивногорская основная общеобразовательная школа ;152627 Ярославская область, Угличский район, с. Дивная Гора ;7612008545;1027601307502;116/14;76А01 № 0000042; 19.02.2013 ;19.02.2025;Начальное   общее  образование,  основное  общее образованиие ;08.07.2014;298/05-03;;;;;;;;;57.513165;38.476119
№ 11;"Негосударственное образовательное учреждение средняя общеобразовательная школа ""Добрая школа на Сольбе""";152030, Российская Федерация, Ярославская область, Переславский район,  м. Сольба, ул. Центральная, д. 15 ;7622015950;1127600000087;103/14;76А01 № 0000036;30.04.2013;30.04.2025;Начальное общее образование, основное общее образование,  среднее общее образование ;21.05.2014;249/05-03;;;;;;;;;56.99923;38.418726
№ 12;"муниципальное образовательное учреждение дополнительного образования детей ""Детская школа искусств им.Е.М.Стомпелева г. Ярославля""";150010, Ярославская обл., г. Ярославль, ул. Щепкина, 10;7607019823;1027601000250;авг.86;ДД 005490;05.04.2010;05.04.2015;Дополнительные общеобразовательные программы;;;;;;;;;;;57.552958;39.944604
№ 13;муниципальное общеобразовательное учреждение Андреевская средняя общеобразовательная школа;152197, Российская Федерация, Ярославская область, Борисоглебский район, д.Андреевское, ул. Молодежная д. 8;7614003422;1027601071739;113/15;76А01  № 0000184;24.05.2011;24.05.2023;Начальное общее образование, основное общее образование, среднее общее образование ;01.07.2015;275/05-03;;;;;;;;;57.30752;39.234091
№ 14;"муниципальное общеобразовательное учреждение ""Средняя школа № 48""";"150065,  город Ярославль, улица Папанина, дом  10 ""А""";7603019558;1027600622917;139/15;76А01 № 0000199;07.11.2014; 07.11.2026;Начальное общее образование, основное общее образование, среднее общее образование ;18.11.2015;561/05-03;;;;;;;;;57.642141;39.953309
№ 15;федеральное казенное  профессиональное  образовательное  учреждение № 88 Федеральной службы  исполнения наказаний ;Российская Федерация, 150036, Ярославская область, г. Ярославль, ул. Колышкина, 1 а;7603015360;1027600621400;110/14;76А01 № 0000012;10.06.2014;10.06.2020: ;"Среднее  профессиональное  образование по программам подготовки  квалифицированных рабочих (служащих): 140000 Энергетика,  энергетическое машиностроение и электротехника; 260000 Технология продовольственных продуктов  и потребительских товаров;  15.00.00 Машиностроение; 43.00.00  Сервис и туризм ";23.04.2015;152/05-03;;;;;;;;;57.732762;39.803066
№ 16;"муниципальное общеобразовательное учреждение ""Гимназия № 1""";150057,  Ярославль проезд Ушакова,  дом  11;7607014511;1027600984454;май.16;76А01 № 0000266;22.03.2011;22.03.2023;Основное общее образование, среднее общее образование ;20.01.2016;28.05.2003;;;;;;;;;57.574523;39.852734
№ 17;"муниципальное общеобразовательное учреждение ""Средняя школа № 1""";150049, город Ярославль, улица Салтыкова-Щедрина,  дом  75;7604041010;1027600688070;189/15;76А01 № 0000245;08.12.2011;08.12.2023;Начальное общее образование, основное общее образование, среднее общее образование ;29.12.2015;746/05-03;;;;;;;;;57.622983;39.851629
№ 18;"муниципальное общеобразовательное учреждение ""Средняя школа № 10""";150060, город Ярославль, улица Туманова, дом 18в;7602023939;1027600513181;182/15;76А01 № 0000238;08.12.2011;08.12.2023;Начальное общее образование, основное  общее образование, среднее общее образование ;22.12.2015;721/05-03;;;;;;;;;57.691819;39.765777
№ 19;"муниципальное общеобразовательное учреждение ""Средняя школа № 11""";150052, город Ярославль, улица Громова, дом 10а;7602023696;1027600514644;169/15;76А01 № 0000225;08.12.2011;08.12.2023;Начальное общее образование, основное общее  образование, среднее общее образование ;16.12.2015;687/05-03;;;;;;;;;57.674305;39.779566
№ 20;"муниципальное общеобразовательное учреждение ""Средняя школа № 12""";150023, город  Ярославль, улица Курчатова, дом  8;7605014160;1027600790678;206/15;76А01 № 0000261;22.03.2011;22.03.2023;Начальное общее образование, основное общее образование, среднее общее образование ;30.12.2015;776/05-03;;;;;;;;;57.581066;39.84632
№ 21;"муниципальное общеобразовательное учреждение ""Средняя школа № 18""";150048, город  Ярославль, улица Слепнева, дом  26;7607014600;1027600983695;74/16;76А01 № 0000325;08.12.2011;08.12.2023;Начальное  общее образование, основное общее образование, среднее общее образование ;28.03.2016;305/05-03;;;;;;;;;57.580979;39.859156
№ 22;"муниципальное общеобразовательное учреждение ""Средняя школа № 29""";150061, город Ярославль, Архангельский проезд, дом  13;7602023777;1027600509562;172/15;76А01 № 0000229;08.12.2011;08.12.2023;Начальное общее образование, основное общее образование, среднее общее образование ;17.12.2015;691/05-03;;;;;;;;;57.677982;39.769756
№ 23;"муниципальное общеобразовательное учреждение ""Основная школа № 35 имени Героя Советского Союза Н.А. Кривова"" ";150035,  город Ярославль, улица Кривова, дом 4;7607014631;1027600981198;187/15;76А01 № 0000243;08.12.2011;08.12.2023;Начальное  общее образование, основное общее образование ;28.12.2015;742/05-03;;;;;;;;;57.58357;39.87529
№ 24;"муниципальное общеобразовательное учреждение ""Средняя школа № 75""";150023, город  Ярославль, улица  Рыкачева, дом  1;7605014153;1027600789171;148/15;76А01 № 0000207;19.12.2013;19.12.2025;начальное общее образование, основное общее образование, среднее общее образование ;25.11.2015;596/05-03;;;;;;;;;57.578267;39.842367
№ 25;"муниципальное общеобразовательное учреждение ""Начальная школа - детский сад № 115""";150045,  город  Ярославль, улица Батова, дом 9а;7602024918;1027600513082;июл.16;76А01 № 0000268;24.05.2011;24.05.2023;начальное  общее образование ;20.01.2016;30.05.2003;;;;;;;;;57.690886;39.786114
№ 26;"муниципальное общеобразовательное учреждение ""Средняя школа № 67""";150034, город Ярославль, улица Панфилова, дом 9а;7603019727;1027600626790;201/16;76А01 № 0000448;21.04.2014;21.04.2026;Начальное общее образование,  основное общее образование, среднее общее образование ;05.12.2016;909/05-03;;;;;;;;;57.721757;39.830204
№ 27;муниципальное общеобразовательное учреждение Лазарцевская начальная общеобразовательная школа ;Ярославская область, Ростовский район, с. Лазарцево, ул. Садовая, д. 16 ;7609014080;1027601074280;206/16;76А01 № 0000453;25.06.2013;25.06.2025;Начальное общее образование;09.12.2016;929/05-03;;;;;;;;;57.088871;39.586482
№ 28;"муниципальное общеобразовательное учреждение ""Средняя школа № 49""";150014, город  Ярославль, улица  Свободы, дом 77;7604041274;1027600679545;13/16;76А01 № 0000271;08.12.2011;08.12.2023;Начальное общее образование,  основное общее образование, среднее общее образование ;28.01.2016;57/05-03;;;;;;;;;57.626024;39.860037
№ 29;"муниципальное общеобразовательное учреждение ""Средняя школа № 62""";150045, город  Ярославль, улица  Труфанова, дом 16;7602024072;1027600517031;141/16;76А01 № 00000388;24.05.2011;24.05.2023;Начальное общее образование, основное общее образование, среднее общее образование ;23.06.2016;552/05-03;;;;;;;;;57.682986;39.774859
№ 30;"муниципальное общеобразовательное учреждение ""Средняя школа № 69""";150034, город  Ярославль, улица Лебедева, дом  3а;7603021194;1027600625095;192/16;76А01 № 0000440;06.02.2014;06.02.2026;"Начальное общее образование; основное общее образование; среднее общее образование ";25.11.2016;878/05-03;;;;;;;;;57.724031;39.833168
№ 31;"муниципальное образовательное учреждение дополнительного образования детей ""Детская музыкальная школа""";152170, Ярославская обл., Борисоглебский р-н, пос. Борисоглебский, пл. Советская, д. 4;7614004176;1037601404092;авг.79;ДД 005445;09.12.2009;09.12.2014;дополнительные образовательные программы;;;;;;;;;;;57.260541;39.154832
№ 32;"государственное общеобразовательное учреждение Ярославской области ""Ярославская школа-интернат № 7""";Российская Федерация, Ярославская область,  г. Ярославль, ул. Чехова, дом 4;7606029360;1037600800918;109/15;76А01 № 0000180;17.06.2011;17.06.2023;начальное общее образование, основное общее образование, среднее общее образование ;"28.01.2014; 29.06.2015";"№ 28/05-03; 267/05-03";;;;;;;;;57.640493;39.85206
№ 33;"муниципальное общеобразовательное учреждение ""Средняя школа № 37 с углублённым изучением английского языка"""; 150003, город  Ярославль, улица Советская,  дом 66;7606028416;1027600844391;158/15;76А01 № 0000215;26.03.2015;26.03.2027;Начальное общее образование, основное общее образование, среднее общее образование ;07.12.2015;637/05-03;;;;;;;;;57.63875;39.880024
№ 34;"муниципальное общеобразовательное учреждение ""Средняя школа № 6 имени Подвойского""";150057, город Ярославль, проезд Подвойского, дом 11;7607014494;1027600983794;205/15;76А01 № 0000260;28.01.2014;28.01.2026;начальное общее образование, основное общее образование, среднее общее образование ;30.12.2015;775/05-03;;;;;;;;;57.576448;39.850721
№ 35;"государственное профессиональное образовательное учреждение Ярославской области ""Ярославский колледж культуры""";Российская Федерация, г. Ярославль, ул.  Ньютона, д. 30а;7606021562;1027600844061;18/16;76А01 № 0000077;24.05.2013;24.05.2019;"Среднее профессиональное образование по программам подготовки специалистов среднего звена: 51.00.00 Культуроведение и социокультурные проекты; 53.00.00 Музыкальное искусство; 54.00.00 Изобразительное и прикладные виды искусств ";05.02.2016;77/05-03;;;;;;;;;57.579107;39.863971
№ 36;"государственное профессиональное  образовательное учреждение Ярославской области ""Ярославский медицинский колледж""";Российская Федерация, Ярославская область, г. Ярославль,  ул. Гагарина, д.10/16;7605000680;1027600792911;сен.16;76А01 № 0000074;30.04.2014;30.04.2020;"Среднее профессиональное образование по программам подготовки специалистов среднего звена: 31.00.00 Клиническая медицина; 32.00.00 Науки о здоровье и  профилактическая медицина; 34.00.00 Сестринское дело ";25.01.2016;38/05-03;;;;;;;;;57.589881;39.846023
;"Рыбинский филиал  государственного профессионального  образовательного учреждения Ярославской области ""Ярославский медицинский колледж"" ";ул. Гоголя, д. 35, г. Рыбинск, Ярославская область,  152934, Российская Федерация ;;;сен.16;76А01 № 0000074;30.04.2014;30.04.2020;"Среднее профессиональное  образование по программам подготовки специалистов среднего звена: 31.00.00 Клиническая медицина; 34.00.00 Сестринское дело ";25.01.2016;38/05-03;;;;;;;;;58.046235;38.845983
№ 37;"муниципальное общеобразовательное учреждение ""Средняя школа № 83""  ";150051, город Ярославль, Школьный проезд, дом 15;7603019702;1027600622235;220/16;76А01 № 0000467;05.11.2015;05.11.2027;Начальное общее образование, основное общее образование, среднее общее образование ;21.12.2016;977/05-03;;;;;;;;;57.6482;39.958932
№ 38;государственное  профессиональное образовательное учреждение Ярославской области химико-технологический  техникум ;Российская Федерация, 150023, г. Ярославль, ул. Менделеева, д.4;7605009548;1027600790700;134/15;76А01  № 0000063;05.06.2013;05.06.2019;"Среднее профессиональное образование по программам подготовки квалифицированных рабочих (служащих): 11.00.00 Электроника, радиотехника и системы связи;  13.00.00. Электро- и теплоэнергетика; 18.00.00 Химические  технологии;  19.00.00  Промышленная  экология и биотехнологии;  38.00.00 Экономика и управление;  54.00.00 Изобразительное и  прикладные виды искусств; ";30.10.2015;516/05-03;;;;;;;;;57.581761;39.8442
;Константиновский филиал государственного  профессионального образовательного учреждения Ярославской области Ярославского химико-технологического  техникума;Российская Федерация,  152321, Ярославская область, Тутаевский район,  поселок Константиновский, ул. Победы, дом 6 ;;;;;;;"Среднее профессиональное образование по программам подготовки квалифицированных рабочих (служащих):  38.00.00  Экономика и управление; Среднее профессиональное образование по программам подготовки квалифицированных рабочих (служащих): 39.00.00 Социология и социальная работа";30.10.2015 03.02.2017;516/05-03 42/05-03;;;;;;;;;57.82734;39.595438
;государственное  профессиональное образовательное учреждение Ярославской области химико-технологический  техникум ;Российская Федерация, 150023, г. Ярославль, ул. Менделеева, д. 4;7605009548;1027600790700;133/15;76А01 № 0000195;05.06.2013;05.06.2019;Основное общее образование ;30.10.2015;516/05-03;;;;;;;;;57.581761;39.8442
№ 39;федеральное казенное образовательное учреждение  № 89 Федеральной службы  исполнения наказаний ;г. Ярославль, ул. Хлебная, д.  12;7603015659;1027600621410;111/14;76А01 № 0000010;10.06.2014;10.06.2020; Среднее профессиональное образование по программам подготовки  квалифицированных рабочих (служащих): 230000 Информатика и вычислительная техника  ;; ;;;;;;;;;57.766003;39.789735
№ 40;государственное профессиональное  образовательное автономное  учреждение Ярославской области  Заволжский политехнический колледж ;Российская Федерация, 150008, г. Ярославль, ул. Клубная, д. 33а;7603012601;1027600624182;38/15;76А01 № 0000030;19.12.2013;19.12.2019;Среднее профессиональное образование по программам подготовки квалифицированных рабочих  (служащих): 08.00.00 ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА, 09.00.00 ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА, 19.00.00 ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ, 23.00.00 ТЕХНИКА И ТЕХНОЛГИИ НАЗЕМНОГО ТРАНСПОРТА ;05.03.2015 30.09.2016 ;75/05-03 691/05-03;;;;;;;;;57.607571;39.976728
;государственное профессиональное  образовательное автономное  учреждение Ярославской области  Заволжский политехнический колледж ;Россия, Ярославль, Клубная улица, 33А;7603012601;1027600624182;37/15;76А01 № 0000124;19.12.2013;19.12.2019;Основное общее образование ;05.03.2015;75/05-03;;;;;;;;;57.607571;39.976728
№ 41;"муниципальное общеобразовательное учреждение""Средняя  школа № 32 имени В.В.Терешковой""";150002, город Ярославль, улица Лесная, дом 1б;7605014298;1027600791646;157/15;76А01 № 0000214;08.05.2015;08.05.2027;Начальное общее образование, основное общее образование,  среднее общее образование  ;07.12.2015;636/05-03;;;;;;;;;57.60287;39.840867
№ 42;государственное профессиональное образовательное учреждение Ярославской области Борисоглебский политехнический колледж ;Российская Федерация, 152170,  Ярославская область, поселок Борисоглебский,  ул.Залесная, д.1;7614003133;1027601071915;75/16;76А01 № 0000326;19.02.2015;19.02.2027;Основное  общее образование ;28.03.2016;306/05-03;;;;;;;;;57.256997;39.150071
;государственное профессиональное образовательное учреждение Ярославской области Борисоглебский политехнический колледж ;Российская Федерация, 152170,  Ярославская область, поселок Борисоглебский,  ул.Залесная, д.1;7614003133;1027601071915;76/16;76А01 № 0000084;18.02.2015;18.02.2021;"Среднее  профессиональное образование по программам подготовки квалифицированных рабочих (служащих): 19.00.00  Промышленная экология и  биотехнологии 35.00.00 Сельское, лесное и  рыбное хозяйство ; среднее профессиональное  образование по программам подготовки специалистов среднего звена:  20.00.00 Техносферная безопасность и  природообустройство ";"28.03.2016;  09.06.2016";"307/05-03;  514/05-03";;;;;;;;;57.256997;39.150071
№ 43;"государственное  профессиональное образовательное учреждение Ярославской области ""Ярославское музыкальное училище (колледж) им. Л.В. Собинова"""; г. Ярославль, ул. Собинова, д. 5;7604032551;1027600692558;152/15;76А01 № 0000067;12.05.2014;12.05.2020;Среднее профессиональное  образование по  программам подготовки специалистов среднего звна:  53.00.00  Музыкальное искусство ;01.12.2015;616/05-03;;;;;;;;;57.630588;39.883339
